chinese,pinyin,english
公寓,gōngyù,apartment
只,zhǐ,only
客厅,kètīng,living room
小,xiǎo,small
卧室,wòshì,bedroom
漂亮,piàoliang,pretty
厨房,chú fáng,kitchen
沙发,shā fā,sofa
舒服,shūfu,comfortable
电视,diànshì,TV
创,chuáng,bed
旧,jiù,old
乱,luàn,messy; chaotic
桌子,zhuōzi,table
运动,yùndòng,sports; exercise
篮球,lánqiú,basketball
打,dǎ,to hit; to play
非常,fēicháng,extremely
跑步,pǎobù,running; to jog
游泳,yóu yǒng,to swim
网球,wǎngqiú,tennis
还是,háishì,or
比较,bǐ jiào,relatively; comparatively
公园,gōngyuán,park
健身房,jiànshēnfáng,gym
夏天,xiàtiān,summer
北京,Běijīng,Beijing
好玩儿,hǎowánr,fun; amusing; interesting
老家,lǎojiā,hometown
冷,lěng,cold
冬天,dōngtiān,winter
特别,tèbié,especially
秋天,qiū tiān,autumn
有名,yǒumíng,famous
长城,chángchéng,the Great Wall
动物园,dòng wù yuán,zoo
春天,chūn tiān,spring
门票,ménpiào,admission ticket; admission fee
贵,guì,expensive
辣,là,spicy
好吃,hǎo chī,delicious
火锅,huǒguō,hotpot
火车,huǒ chē,train
运动,yùndòng,sports; exercise
的时候,de shí hòu,when...
热闹,rè nao,lively; bustling
老家,lǎojiā,hometown
博物馆,bówùguǎn,museum
吧,ba,modal particle (suggestion / right?)
周末,zhōumò,weekend
空儿,kòngr,free time
快,kuài,fast; quick
公交车,gōng jiāo chē,bus
地铁,dìtiě,subway
爱情,ài qíng,romantic love
电影,diànyǐng,movie
爆米花,bào mǐ huā,popcorn
一些,yìxiē,some
蛋糕,dàngāo,cake
水果,shuǐguǒ,fruit
带,dài,to bring
饺子,jiǎozi,dumpling
果汁,guǒ zhī,fruit juice
做,zuò,to do; to make
晚饭,wǎnfàn,dinner
土豆,tǔ dòu,potato
先,xiān,first
西红柿,xī hóng shì,tomato
几,jǐ,how many
盘子,pánzi,plate
小心,xiǎo xīn,to be careful; to take care
放,fàng,to put; to place
喜剧,xǐjù,comedy
有趣,yǒu qù,interesting
足球,zúqiú,soccer
踢,tī,to kick
棒球,bàngqiú,baseball
棒,bàng,fantastic
一起,yìqǐ,together
会,huì,can; to be able to
钢琴,gāng qín,piano
吉他,jí tā,guitar
唱歌,chàng gē,to sing
