word_id,italian,romanization,english,unlock_level
it_001,ciao,,hello,1
it_002,grazie,,thanks,1
it_003,sì,,yes,1
it_004,no,,no,1
it_005,per favore,,please,1
it_006,scusa,,sorry,2
it_007,mattina,,morning,2
it_008,sera,,evening,2
it_009,giorno,,day,2
it_010,notte,,night,2
it_011,acqua,,water,3
it_012,cibo,,food,3
it_013,caffè,,coffee,3
it_014,pane,,bread,3
it_015,casa,,house,3
it_016,macchina,,car,4
it_017,libro,,book,4
it_018,amico,,friend,4
it_019,famiglia,,family,4
it_020,scuola,,school,4
it_021,uomo,,man,5
it_022,donna,,woman,5
it_023,bambino,,child,5
it_024,bambina,,girl,5
it_025,ragazzo,,boy,5
it_026,madre,,mother,6
it_027,padre,,father,6
it_028,sorella,,sister,6
it_029,fratello,,brother,6
it_030,nonna,,grandmother,6
it_031,grande,,big,7
it_032,piccolo,,small,7
it_033,buono,,good,7
it_034,cattivo,,bad,7
it_035,nuovo,,new,7
it_036,vecchio,,old,8
it_037,caldo,,warm,8
it_038,freddo,,cold,8
it_039,veloce,,fast,8
it_040,lento,,slow,8
it_041,io,,I,9
it_042,tu,,you,9
it_043,lui,,he,9
it_044,lei,,she,9
it_045,noi,,we,9
it_046,voi,,you plural,10
it_047,loro,,they,10
it_048,mio,,my,10
it_049,tuo,,your,10
it_050,nostro,,our,10
it_051,essere,,to be,11
it_052,avere,,to have,11
it_053,andare,,to go,11
it_054,venire,,to come,11
it_055,fare,,to do,11
it_056,mangiare,,to eat,12
it_057,bere,,to drink,12
it_058,leggere,,to read,12
it_059,scrivere,,to write,12
it_060,parlare,,to speak,12
it_061,un,,a common,13
it_062,una,,a feminine,13
it_063,un,,a neuter,13
it_064,esso,,it common,13
it_065,esso,,it neuter,13
it_066,qui,,here,14
it_067,lì,,there,14
it_068,ora,,now,14
it_069,più tardi,,later,14
it_070,sempre,,always,14
it_071,oggi,,today,15
it_072,domani,,tomorrow,15
it_073,ieri,,yesterday,15
it_074,settimana,,week,15
it_075,mese,,month,15
it_076,rosso,,red,16
it_077,blu,,blue,16
it_078,verde,,green,16
it_079,giallo,,yellow,16
it_080,nero,,black,16
it_081,bianco,,white,17
it_082,marrone,,brown,17
it_083,rosa,,pink,17
it_084,arancione,,orange,17
it_085,viola,,purple,17
it_086,uno,,one,18
it_087,due,,two,18
it_088,tre,,three,18
it_089,quattro,,four,18
it_090,cinque,,five,18
it_091,sei,,six,19
it_092,sette,,seven,19
it_093,otto,,eight,19
it_094,nove,,nine,19
it_095,dieci,,ten,19
it_096,dove,,where,20
it_097,cosa,,what,20
it_098,chi,,who,20
it_099,quando,,when,20
it_100,perché,,why,20
it_101,come,,how,21
it_102,quale,,which,21
it_103,quanto,,how much,21
it_104,perché,,because,21
it_105,ma,,but,21
it_106,e,,and,22
it_107,o,,or,22
it_108,con,,with,22
it_109,senza,,without,22
it_110,da,,from,22
it_111,a,,to,23
it_112,in,,in,23
it_113,su,,on,23
it_114,sotto,,under,23
it_115,sopra,,above,23
it_116,città,,city,24
it_117,strada,,street,24
it_118,negozio,,shop,24
it_119,mercato,,market,24
it_120,parco,,park,24
it_121,stanza,,room,25
it_122,cucina,,kitchen,25
it_123,bagno,,bathroom,25
it_124,camera,,bedroom,25
it_125,soggiorno,,living room,25
it_126,formaggio,,cheese,26
it_127,uovo,,egg,26
