korean,romaji,english
가게,gage,"store, shop"
가격,gagyeok,price
가구,gagu,furniture
가깝다,gakkapda,close
가끔,gakkeum,sometimes
가다,gada,go
가르치다,gareuchida,teach
가방,gabang,bag
가볍다,gabyeopda,light
가수,gasu,singer
가슴,gaseum,"chest, breast"
가요,gayo,song
가운데,gaunde,middle
가위,gawi,scissors
가을,gaeul,"autumn, fall"
가장,gajang,most
가져가다,gajyeogada,take away
가져오다,gajyeooda,bring
가족,gajok,family
가지,gaji,branch
가지다,gajida,have
각,gak,each
간,gan,while
간단하다,gandanhada,"simple, easy"
간단히,gandanhi,simply
간식,gansik,snack
간장,ganjang,soy sauce
간호사,ganhosa,nurse
갈비,galbi,"Galvi, spareribs"
갈비탕,galbitang,"Galbitang, spareribs soup"
갈색,galsaek,brown
갈아타다,garatada,transfer
감,gam,persimmon
감기,gamgi,cold
감기약,gamgiyak,cold medicine
감다,gamda,close ~ (eyes)
감동,gamdong,sensation
감동하다,gamdonghada,be impressed
감사,gamsa,thank
감사드립니다,gamsadeuripnida,thank you
감사하다,gamsahada,"thank, appreciate"
감사합니다,gamsahapnida,thank you
감자,gamja,potato
감자탕,gamjatang,"Gamjatang, potato soup"
갑자기,gapjagi,suddenly
값,gap,price
강,gang,river
강아지,gangaji,puppy
강좌,gangjwa,lecture
갖다,gatda,have
같다,gatda,same
같이,gati,together
개,gae,"dog, ~ piece(s)"
개나리,gaenari,forsythia
개인,gaein,individual
거기,geogi,there
거리,geori,street
거실,geosil,living room
거울,geoul,mirror
거의,geoui,"almost, nearly"
거짓말,geojitmal,lie
걱정,geokjeong,"anxiety, concern"
걱정하다,geokjeonghada,worry
건강,geongang,health
건강하다,geonganghada,be healthy
건너가다,geonneogada,cross (a road)
건너다,geonneoda,cross over
건너편,geonneopyeon,"other side, opposite side"
건물,geonmul,building
건배,geonbae,"cheers, toast"
걷다,geotda,walk
걸다,geolda,"bet, call"
걸리다,geolrida,"get caught, take (time)"
걸어가다,georeogada,walk (go)
걸어오다,georeooda,walk (come)
검은색,geomeunsaek,black
것,geot,"that, thing, it"
게임,geim,game
겨울,gyeoul,winter
겨울방학,gyeoulbanghak,winter vacation
결과,gyeolgwa,result
결정,gyeoljeong,decision
결정하다,gyeoljeonghada,decide
결혼,gyeolhon,marriage
결혼식,gyeolhonsik,wedding ceremony
결혼하다,gyeolhonhada,get married
경기,gyeonggi,"competition, game"
경기장,gyeonggijang,"stadium, arena"
경복궁,gyeongbokgung,Gyeongbokgung
경주,gyeongju,Gyeongju
경찰,gyeongchal,police
경찰관,gyeongchalgwan,police officer
경찰서,gyeongchalseo,police office
경치,gyeongchi,"view, landscape"
경험,gyeongheom,experience
계단,gyedan,stairs
계란,gyeran,egg
계산하다,gyesanhada,calculate
계속,gyesok,continue
계시다,gyesida,"be, exist (honorific form)"
계절,gyejeol,season
